iter	RMSE
0	72696.57161
1	70382.93265
2	67953.18047
3	65709.69811
4	63521.48448
5	61606.38492
6	59628.62141
7	57756.31047
8	55979.83025
9	54294.10919
10	52748.12165
11	51230.81789
12	49814.54225
13	48394.37636
14	47106.14226
15	45872.88398
16	44652.29727
17	43451.2793
18	42401.12918
19	41306.01476
20	40335.53209
21	39398.5092
22	38441.57617
23	37617.30103
24	36849.06326
25	36109.22532
26	35379.41251
27	34709.17364
28	34041.01688
29	33427.28676
30	32815.81075
31	32213.3318
32	31659.51991
33	31179.94755
34	30693.38123
35	30232.10623
36	29761.31862
37	29338.60206
38	28876.07354
39	28442.30078
40	28023.96403
41	27681.68637
42	27321.84235
43	26989.82089
44	26663.27099
45	26365.91622
46	26053.8798
47	25772.08798
48	25473.90583
49	25196.87063
50	24980.11346
51	24751.44996
52	24524.96619
53	24279.90949
54	24050.60167
55	23818.58185
56	23626.83717
57	23425.13715
58	23258.48059
59	23068.49458
60	22875.56636
61	22692.98912
62	22523.23731
63	22386.37156
64	22194.61276
65	22036.96459
66	21862.92826
67	21711.90466
68	21585.64963
69	21439.33074
70	21294.52227
71	21183.54729
72	21070.55543
73	20965.57577
74	20845.4192
75	20727.41148
76	20620.04616
77	20529.49075
78	20453.81263
79	20327.41771
80	20218.35371
81	20135.64839
82	20038.95418
83	19932.64056
84	19833.02021
85	19752.023
86	19667.30692
87	19585.63392
88	19501.93472
89	19400.29174
90	19323.43826
91	19245.7908
92	19161.44763
93	19103.14538
94	19051.30524
95	18992.64345
96	18924.50089
97	18868.78071
98	18804.96949
99	18747.71225
100	18692.37686
101	18635.71228
102	18577.2123
103	18506.44394
104	18443.36621
105	18403.4943
106	18327.25684
107	18272.30156
108	18201.52934
109	18143.82811
110	18098.31253
111	18062.60844
112	18021.06881
113	17969.51884
114	17925.32099
115	17882.1997
116	17827.95389
117	17776.55611
118	17736.48154
119	17701.10731
120	17666.00892
121	17626.08487
122	17594.6355
123	17556.887
124	17514.31406
125	17471.32605
126	17424.49243
127	17401.39213
128	17383.93708
129	17350.90966
130	17312.66563
131	17281.50251
132	17241.72008
133	17191.25129
134	17144.51611
135	17098.32482
136	17066.38876
137	17021.77042
138	16984.37026
139	16945.39253
140	16920.5855
141	16878.02008
142	16850.66454
143	16799.00841
144	16766.91969
145	16719.97426
146	16678.61351
147	16656.55847
148	16635.7253
149	16615.154
150	16590.6888
151	16556.3842
152	16524.63977
153	16480.7391
154	16444.76729
155	16413.70891
156	16377.75898
157	16342.10849
158	16320.45246
159	16295.53477
160	16276.8421
161	16239.70289
162	16228.82326
163	16188.82149
164	16164.47422
165	16144.39229
166	16123.70707
167	16102.46346
168	16058.85138
169	16039.09132
170	15995.09424
171	15970.41462
172	15952.50293
173	15904.95755
174	15871.41912
175	15834.74407
176	15787.165
177	15764.1173
178	15737.62515
179	15714.17407
180	15679.81606
181	15658.61291
182	15616.37782
183	15593.33213
184	15563.51007
185	15548.90212
186	15521.97381
187	15513.60296
188	15498.39328
189	15468.76045
190	15435.91681
191	15410.88651
192	15372.55166
193	15347.40839
194	15308.48368
195	15302.25286
196	15285.30802
197	15258.60317
198	15220.74734
199	15211.11543
200	15198.40867
201	15166.06955
202	15132.46673
203	15114.2266
204	15098.0786
205	15069.04368
206	15037.45008
207	15005.15301
208	14959.29783
209	14921.20441
210	14915.19886
211	14884.59029
212	14865.83704
213	14832.86214
214	14800.55953
215	14777.00491
216	14761.18385
217	14730.0723
218	14715.64066
219	14692.72508
220	14658.54019
221	14650.53483
222	14617.99339
223	14604.12738
224	14579.56981
225	14551.54952
226	14526.79584
227	14511.62482
228	14479.74206
229	14455.0214
230	14429.31411
231	14415.37367
232	14389.01676
233	14366.40022
234	14340.64406
235	14315.01322
236	14288.5894
237	14264.34063
238	14230.65662
239	14215.90141
240	14205.7312
241	14182.19885
242	14160.56804
243	14136.72025
244	14107.15627
245	14095.41835
246	14079.23028
247	14046.22537
248	14018.83454
249	13991.14269
250	13978.63752
251	13953.62725
252	13923.88326
253	13917.8705
254	13896.72156
255	13862.92974
256	13838.81598
257	13813.89399
258	13809.86324
259	13794.55674
260	13789.76192
261	13759.68429
262	13729.77336
263	13702.15887
264	13681.39879
265	13661.57132
266	13631.4955
267	13615.31915
268	13586.24539
269	13581.00313
270	13577.45071
271	13551.88154
272	13530.39203
273	13506.77496
274	13478.72157
275	13449.69989
276	13438.26739
277	13419.11213
278	13401.44731
279	13374.44812
280	13353.93814
281	13344.51876
282	13321.88908
283	13318.52867
284	13298.1673
285	13274.20037
286	13251.06412
287	13247.81001
288	13225.92592
289	13204.16425
290	13178.06201
291	13164.6164
292	13134.32207
293	13109.57168
294	13081.76958
295	13063.32033
296	13039.25767
297	13021.96837
298	13019.01095
299	13002.72537
300	12983.6794
301	12965.54453
302	12952.06958
303	12946.13666
304	12929.75482
305	12911.16512
306	12891.04105
307	12874.58785
308	12858.68621
309	12842.6805
310	12824.28104
311	12802.48847
312	12788.01251
313	12762.72085
314	12736.5144
315	12733.86465
316	12716.92588
317	12697.4289
318	12677.35803
319	12658.08436
320	12629.20763
321	12608.31229
322	12595.13905
323	12583.57198
324	12567.28088
325	12546.2692
326	12527.64935
327	12519.05729
328	12504.43168
329	12490.51182
330	12479.36874
331	12470.32423
332	12450.75049
333	12445.41456
334	12429.03783
335	12410.51682
336	12390.9223
337	12370.0738
338	12349.10836
339	12324.33177
340	12320.1285
341	12294.54816
342	12290.51609
343	12282.70558
344	12261.01563
345	12248.67813
