iter	Passed	Remaining
0	3	4803
1	9	6152
2	15	6881
3	19	6430
4	22	5923
5	27	5893
6	30	5697
7	34	5540
8	38	5454
9	41	5339
10	44	5269
11	50	5386
12	60	5956
13	63	5865
14	67	5780
15	70	5689
16	74	5615
17	77	5537
18	81	5480
19	84	5413
20	86	5265
21	89	5201
22	93	5168
23	95	5061
24	96	4907
25	97	4784
26	99	4671
27	100	4547
28	101	4433
29	102	4335
30	103	4240
31	104	4151
32	105	4069
33	107	3989
34	108	3908
35	109	3839
36	110	3767
37	111	3706
38	112	3645
39	113	3585
40	114	3528
41	115	3473
42	116	3419
43	118	3390
44	120	3348
45	121	3305
46	122	3264
47	123	3225
48	124	3188
49	126	3151
50	127	3115
51	128	3085
52	129	3054
53	131	3036
54	133	3012
55	134	2978
56	135	2948
57	136	2933
58	138	2908
59	139	2882
60	140	2855
61	141	2831
62	142	2805
63	144	2781
64	145	2761
65	146	2738
66	147	2713
67	148	2692
68	149	2671
69	150	2650
70	152	2634
71	153	2622
72	154	2601
73	155	2584
74	157	2567
75	159	2563
76	160	2548
77	161	2531
78	162	2516
79	164	2507
80	165	2494
81	167	2485
82	168	2471
83	169	2456
84	171	2444
85	172	2430
86	173	2417
87	174	2403
88	175	2392
89	176	2379
90	178	2367
91	179	2354
92	180	2343
93	181	2334
94	183	2322
95	184	2309
96	185	2297
97	186	2284
98	187	2273
99	188	2265
100	190	2257
101	191	2245
102	192	2238
103	193	2227
104	194	2219
105	196	2212
106	197	2203
107	198	2195
108	200	2191
109	202	2186
110	203	2178
111	204	2170
112	205	2162
113	206	2152
114	208	2151
115	210	2146
116	212	2146
117	213	2137
118	214	2130
119	216	2124
120	217	2119
121	218	2111
122	220	2108
123	221	2100
124	222	2095
125	224	2090
126	225	2086
127	227	2080
128	228	2074
129	229	2066
130	230	2058
131	232	2053
132	233	2050
133	235	2046
134	236	2040
135	237	2032
136	238	2026
137	240	2021
138	241	2014
139	242	2007
140	243	1999
141	244	1994
142	246	1991
143	247	1986
144	248	1980
145	249	1974
146	251	1971
147	252	1965
148	253	1959
149	254	1953
150	256	1948
151	257	1942
152	258	1935
153	259	1931
154	260	1927
155	262	1922
156	263	1917
157	264	1911
158	265	1906
159	266	1900
160	267	1893
161	268	1888
162	269	1882
163	271	1881
164	272	1876
165	274	1872
166	275	1870
167	276	1865
168	278	1860
169	279	1855
170	280	1851
171	282	1850
172	283	1845
173	284	1840
174	285	1835
175	286	1829
176	287	1826
177	289	1823
178	290	1819
179	291	1813
180	292	1808
181	293	1804
182	294	1800
183	296	1796
184	297	1792
185	298	1788
186	299	1784
187	300	1778
188	301	1774
189	303	1775
190	304	1770
191	307	1771
192	308	1768
193	309	1764
194	310	1759
195	311	1756
196	313	1754
197	314	1750
198	315	1746
199	316	1742
200	317	1738
201	319	1734
202	320	1730
203	321	1726
204	322	1722
205	323	1719
206	325	1716
207	326	1712
208	327	1708
209	328	1704
210	329	1700
211	330	1696
212	331	1692
213	332	1688
214	333	1683
215	334	1681
216	336	1678
217	337	1674
218	338	1670
219	339	1667
220	340	1663
221	341	1659
222	343	1657
223	344	1654
224	345	1650
225	346	1647
226	347	1644
227	349	1641
228	350	1638
229	351	1634
230	352	1631
231	354	1630
232	355	1627
233	356	1623
234	358	1623
235	359	1619
236	360	1616
237	361	1613
238	362	1610
239	364	1609
240	365	1606
241	366	1602
242	368	1601
243	369	1598
244	370	1595
245	371	1592
246	373	1591
247	374	1588
248	375	1585
249	376	1582
250	377	1579
251	379	1578
252	380	1576
253	382	1574
254	383	1572
255	384	1568
256	385	1566
257	387	1563
258	388	1560
259	389	1558
260	391	1556
261	392	1553
262	393	1553
263	395	1552
264	396	1549
265	397	1545
266	398	1542
267	399	1539
268	401	1537
269	402	1534
270	403	1533
271	405	1532
272	406	1529
273	408	1528
274	409	1525
275	410	1524
276	411	1521
277	413	1518
